Name,Rtg,Pos,Club,League,Nationality,DIV,HAN,KIC,REF,SPE,POS,WF,Skill
Ignacio Chicco,63,GK,Colón de Santa Fe,Primera División,ARG,65,64,59,61,31,63,3,1
Andrew Tarbell,63,GK,Columbus Crew SC,MLS,USA,62,64,59,70,29,61,2,1
Samuele Perisan,63,GK,Udinese,Serie A TIM,ITA,68,59,56,65,46,58,3,1
Théo Guivarch,63,GK,Rodez Aveyron Football,Ligue 2 BKT,FRA,67,57,58,66,35,60,2,1
Marcel Engelhardt,63,GK,Eintracht Braunschweig,Bundesliga 2,GER,69,58,60,67,46,64,2,1
Dominik Reimann,63,GK,Holstein Kiel,Bundesliga 2,GER,68,57,69,67,45,58,3,1
Hillel Konaté,63,GK,Valenciennes FC,Ligue 2 BKT,IVC,63,61,62,66,53,58,2,1
Lionel Mpasi,63,GK,Rodez Aveyron Football,Ligue 2 BKT,FRA,62,61,64,66,45,61,3,1
Svend Brodersen,63,GK,FC St. Pauli,Bundesliga 2,GER,64,60,56,67,42,62,3,1
Yang Hyung Mo,63,GK,Suwon Samsung Bluewings,K League 1,KOR,61,61,62,67,53,62,3,1
Nick Gillekens,63,GK,Royal Excel Mouscron,1A Pro League,BEL,65,58,61,66,43,58,2,1
Merveille Goblet,63,GK,KSV Cercle Brugge,1A Pro League,BEL,68,55,51,70,48,57,2,1
Liam Roberts,63,GK,Walsall,EFL League Two,ENG,65,57,59,65,46,62,2,1
Nicolai Flø,63,GK,SønderjyskE,3F Superliga,DEN,64,61,55,66,39,62,2,1
Thomas Vollnhofer,63,GK,spusu SKN St. Pölten,Ö. Bundesliga,AT,65,62,59,59,45,66,3,1
Lukas Raeder,63,GK,VfB Lübeck,3. Liga,GER,60,61,64,63,30,65,3,1
Thomas Dähne,63,GK,Holstein Kiel,Bundesliga 2,GER,67,56,65,67,57,59,4,1
Markus Scholz,63,GK,SV Waldhof Mannheim 07,3. Liga,GER,65,63,58,66,30,60,2,1
Florian Stritzel,63,GK,SV Darmstadt 98,Bundesliga 2,GER,68,57,42,63,34,66,3,1
Stefan van der Lei,63,GK,FC Emmen,Eredivisie,NED,65,60,61,69,45,58,3,1
Martin Sourzac,63,GK,AS Nancy Lorraine,Ligue 2 BKT,FRA,63,62,57,66,55,61,2,1
Benjamin Bertrand,63,GK,Pau FC,Ligue 2 BKT,FRA,68,61,54,65,45,59,2,1
Lee Bum Soo,63,GK,Gangwon FC,K League 1,KOR,65,62,59,64,61,62,3,1
Lee Burge,63,GK,Sunderland,EFL League One,ENG,67,60,51,69,42,59,3,1
Jack Bonham,63,GK,Gillingham,EFL League One,IRL,64,60,67,65,43,66,3,1
Dinu Moldovan,63,GK,AFC Chindia Târgoviște,Liga I,ROM,63,65,62,64,36,62,2,1
Alcolea,63,GK,CF Fuenlabrada,LaLiga SmartBank,ESP,63,64,61,66,59,60,2,1
Aslak Falch,63,GK,Sarpsborg 08,Eliteserien,NOR,64,60,55,66,35,60,3,1
Benjamin Büchel,63,GK,FC Vaduz,RSL,LIE,63,62,63,66,34,64,3,1
Paolo Branduani,63,GK,Empoli,Calcio B,ITA,62,64,60,63,55,63,1,1
Jesús Fernández,63,GK,Sepsi OSK Sf. Gheorghe,Liga I,ESP,63,65,57,62,48,61,3,1
Lee Bum Young,63,GK,Jeonbuk Hyundai Motors,K League 1,KOR,63,62,60,64,39,59,2,1
Waleed Abdullah,63,GK,Al Nassr,MBS Pro League,SAR,63,58,69,64,36,61,2,1
Kayacan Erdoğan,63,GK,BB Erzurumspor,Süper Lig,TUR,64,60,60,66,49,63,1,1
Grzegorz Sandomierski,63,GK,FC CFR 1907 Cluj,Liga I,POL,59,62,63,65,45,61,3,1
Julio González,63,GK,Club Universidad Nacional,LIGA BBVA MX,MEX,64,61,67,61,44,57,3,1
Marek Štěch,63,GK,Mansfield Town,EFL League Two,CZ,65,61,64,63,37,64,2,1
Scott Davies,63,GK,Tranmere Rovers,EFL League Two,ENG,63,60,61,66,26,62,3,1
Gary Rogers,63,GK,Dundalk,SSE Airtricity Lge,IRL,62,64,59,61,28,64,2,1
Michael Ratajczak,63,GK,Hannover 96,Bundesliga 2,GER,62,64,35,64,43,64,3,1
Altube,63,GK,Real Madrid,LaLiga Santander,ESP,63,58,63,65,16,59,3,1
Unai Etxebarría,63,GK,Valencia CF,LaLiga Santander,ESP,65,58,61,64,37,60,3,1
Florin Iacob,63,GK,UTA Arad,Liga I,ROM,64,58,62,64,33,63,2,1
Jan Olschowsky,63,GK,Borussia Mönchengladbach,Bundesliga,GER,64,63,64,64,20,65,3,1
Pépé Bonet,63,GK,Stade Rennais FC,Ligue 1 Uber Eats,DRC,65,60,58,61,17,64,2,1
Árpád Tordai,63,GK,FC Viitorul Constanța,Liga I,ROM,61,61,65,63,21,62,2,1
Victor Rîmniceanu,63,GK,FC Voluntari,Liga I,ROM,61,60,66,63,39,64,3,1
Tsuyoshi Kodama,63,GK,F.C. Tokyo,Meiji Yasuda J1,JAP,63,59,63,61,24,65,2,1
Florian Faist,63,GK,TSV Prolactal Hartberg,Ö. Bundesliga,AT,63,62,55,60,26,65,2,1
Daniel Rebollo,63,GK,Real Betis,LaLiga Santander,ESP,61,63,64,64,26,62,3,1
Álex Domínguez,63,GK,UD Las Palmas,LaLiga SmartBank,ESP,61,62,63,64,42,60,2,1
Finn Dahmen,63,GK,1. FSV Mainz 05,Bundesliga,GER,65,60,59,65,42,60,3,1
Joaquín Blázquez,63,GK,Club Atlético Talleres,Primera División,ARG,63,59,63,64,23,63,3,1
Carlos Higuera,63,GK,Club Tijuana,LIGA BBVA MX,MEX,64,61,53,64,47,61,3,1
Michele Nardi,63,GK,Chievo Verona,Calcio B,ITA,64,62,58,64,23,59,2,1
José Alberto Castillo,63,GK,Club Universidad Nacional,LIGA BBVA MX,MEX,63,62,65,63,20,60,2,1
Seny Dieng,63,GK,Queens Park Rangers,EFL Championship,SEN,63,60,60,65,40,62,3,1
Filip Dmitrovic,63,GK,SV Ried,Ö. Bundesliga,SRB,63,61,55,65,39,60,4,1
João Virgínia,63,GK,Everton,Premier League,POR,62,60,63,65,52,59,3,1
Lukas Jonsson,63,GK,IK Sirius,Allsvenskan,SWE,63,62,62,64,36,63,2,1
Utku Yuvakuran,63,GK,Beşiktaş JK,Süper Lig,TUR,64,60,59,64,36,60,3,1
Kentaro Seki,63,GK,Vegalta Sendai,Meiji Yasuda J1,JAP,57,61,61,63,26,63,2,1
Chi Wenyi,63,GK,Hebei China Fortune FC,CSL,CPR,63,60,61,64,20,63,1,1
Unai Etxebarría,63,GK,Granada CF,LaLiga Santander,ESP,65,58,61,64,37,60,3,1
Will Jääskeläinen,63,GK,Crewe Alexandra,EFL League One,FIN,63,62,63,64,36,62,2,1
Rick Wulle,63,GK,SV Sandhausen,Bundesliga 2,GER,62,62,59,64,46,61,2,1
Nikolai Rehnen,63,GK,DSC Arminia Bielefeld,Bundesliga,GER,65,59,60,64,35,63,3,1
Harry Burgoyne,63,GK,Shrewsbury,EFL League One,ENG,65,62,61,64,34,61,2,1
Samuel Portugal,63,GK,Portimonense SC,Liga NOS,BRA,65,62,56,65,43,63,3,1
Carlos Alves,63,GK,Rio Ave FC,Liga NOS,POR,65,63,66,61,42,60,2,1
Tobias Schützenauer,63,GK,SK Sturm Graz,Ö. Bundesliga,AT,63,60,65,63,36,64,4,1
Lee Tae Hee,63,GK,Incheon United FC,K League 1,KOR,62,62,61,63,44,62,3,1
Nikita Haikin,63,GK,FK Bodø/Glimt,Eliteserien,RUS,65,62,60,65,42,60,2,1
Tino Casali,63,GK,SC Rheindorf Altach,Ö. Bundesliga,AT,64,60,59,65,30,61,3,1
Michael Brouwer,63,GK,Heracles Almelo,Eredivisie,NED,66,62,60,63,26,58,3,1
Davor Blažević,63,GK,Hammarby IF,Allsvenskan,SWE,64,60,58,62,26,63,2,1
Michał Szromnik,63,GK,Śląsk Wrocław,PKO Ekstraklasa,POL,66,63,65,62,48,60,3,1
Steve Arnold,63,GK,Northampton Town,EFL League One,ENG,65,62,63,64,31,60,3,1
Jung San,63,GK,Incheon United FC,K League 1,KOR,65,62,58,63,44,62,3,1
Yang Cheng,63,GK,Hebei China Fortune FC,CSL,CPR,62,60,63,62,33,62,1,1
Liam Reddy,63,GK,Perth Glory,A-League,AUS,63,61,60,62,48,64,2,1
Scott Flinders,63,GK,Cheltenham Town,EFL League Two,ENG,64,60,58,65,35,62,2,1
Stephan Andersen,63,GK,FC København,3F Superliga,DEN,61,63,63,61,38,63,3,1
Philipp Heerwagen,63,GK,SV Sandhausen,Bundesliga 2,GER,64,62,54,63,34,63,2,1
Lewis Ward,62,GK,Portsmouth,EFL League One,ENG,62,60,60,62,45,61,2,1
Adrián Zendejas,62,GK,Minnesota United FC,MLS,USA,66,58,59,64,37,60,3,1
Ali Al Mazaidi,62,GK,Abha Club,MBS Pro League,SAR,60,64,62,61,38,62,3,1
Akihiko Takeshige,62,GK,Yokohama FC,Meiji Yasuda J1,JAP,61,62,57,58,16,66,2,1
Benny Díaz,62,GK,Club Tijuana,LIGA BBVA MX,USA,62,59,59,66,21,62,2,1
Yuma Obata,62,GK,Vegalta Sendai,Meiji Yasuda J1,JAP,65,59,56,70,44,49,3,1
Lino Kasten,62,GK,VfL Wolfsburg,Bundesliga,GER,66,62,62,67,40,51,3,1
Alexis Guendouz,62,GK,AS Saint-Étienne,Ligue 1 Uber Eats,FRA,66,62,65,67,31,58,3,1
Nick Shinton,62,GK,Club Brugge KV,1A Pro League,BEL,67,58,59,68,27,54,3,1
Lukáš Hroššo,62,GK,Cracovia,PKO Ekstraklasa,SVK,63,64,58,60,17,62,3,1
Julian Krahl,62,GK,1. FC Köln,Bundesliga,GER,69,59,57,71,31,52,3,1
Dennis Smarsch,62,GK,FC St. Pauli,Bundesliga 2,GER,65,62,66,63,31,65,4,1
Go Hatano,62,GK,F.C. Tokyo,Meiji Yasuda J1,JAP,61,65,56,62,24,61,3,1
Marcos Lavín,62,GK,FC Voluntari,Liga I,ESP,60,65,56,64,31,57,3,1
Lukas Watkowiak,62,GK,FC St. Gallen 1879,RSL,GER,59,59,57,66,21,63,3,1
David Buchholz,62,GK,VfL Osnabrück,Bundesliga 2,GER,61,66,44,62,24,64,2,1
Kosei Tani,62,GK,Shonan Bellmare,Meiji Yasuda J1,JAP,62,63,58,67,26,53,3,1
Kenta Tanno,62,GK,Kawasaki Frontale,Meiji Yasuda J1,JAP,63,67,58,58,25,61,2,1
Yanick van Osch,62,GK,Fortuna Sittard,Eredivisie,NED,62,59,68,67,42,60,3,1
Matthias Hamrol,62,GK,SV Wehen Wiesbaden,3. Liga,GER,63,62,53,65,26,60,4,1
Haruki Fukushima,62,GK,Urawa Red Diamonds,Meiji Yasuda J1,JAP,62,61,69,61,40,59,2,1
Mike Hauptmeijer,62,GK,PEC Zwolle,Eredivisie,NED,60,62,60,66,34,63,2,1
Juan Pérez,62,GK,CA Osasuna,LaLiga Santander,ESP,58,65,57,67,33,63,3,1
Kalle Joelsson,62,GK,Helsingborgs IF,Allsvenskan,SWE,61,58,63,68,33,62,3,1
Mouhamadou Sarr,62,GK,Bologna,Serie A TIM,SEN,65,60,55,70,43,55,2,1
Tim Erlandsson,62,GK,Falkenbergs FF,Allsvenskan,SWE,58,63,72,59,29,60,3,1
Daniele Sommariva,62,GK,AC Monza,Calcio B,ITA,64,54,61,68,42,58,2,1
Lewis Ward,62,GK,Exeter City,EFL League Two,ENG,62,60,60,62,45,61,2,1
Morten Sætra,62,GK,Strømsgodset IF,Eliteserien,NOR,64,61,58,64,46,60,3,1
Viljar Myhra,62,GK,Strømsgodset IF,Eliteserien,NOR,63,63,57,62,45,60,3,1
Jakub Wrąbel,62,GK,Wisła Płock,PKO Ekstraklasa,POL,62,61,58,62,45,62,2,1
Dawid Kudła,62,GK,Górnik Zabrze,PKO Ekstraklasa,POL,62,56,67,64,45,63,2,1
Stojan Lukić,62,GK,Varbergs BoIS FC,Allsvenskan,BOS,57,63,52,62,26,67,2,1
Lawrence Vigouroux,62,GK,Leyton Orient,EFL League Two,CHI,63,61,62,63,46,61,2,1
Sixten Mohlin,62,GK,Östersunds FK,Allsvenskan,SWE,66,57,62,68,45,57,2,1
Ahmed Al Kassar,62,GK,Al Faisaly,MBS Pro League,SAR,62,60,54,67,40,60,3,1
Iván Rodríguez,62,GK,Puebla,LIGA BBVA MX,MEX,66,54,55,64,63,64,2,1
Ben Garratt,62,GK,Burton Albion,EFL League One,ENG,65,58,58,66,50,61,2,1
Pier Graziano Gori,62,GK,Benevento,Serie A TIM,ITA,56,58,64,59,35,67,1,1
Christoph Haas,62,GK,SV Ried,Ö. Bundesliga,AT,63,60,62,59,30,62,4,1
Gudmund Kongshavn,62,GK,FC Dinamo 1948,Liga I,NOR,63,61,63,63,22,60,3,1
Ryotaro Hironaga,62,GK,Vissel Kobe,Meiji Yasuda J1,JAP,64,60,60,65,26,61,2,1
Garissone Innocent,62,GK,Stade Malherbe Caen,Ligue 2 BKT,FRA,62,59,61,64,30,61,3,1
Shun Yoshida,62,GK,Oita Trinita,Meiji Yasuda J1,JAP,66,57,59,65,31,56,3,1
Andres Gudiño,62,GK,Cruz Azul,LIGA BBVA MX,MEX,60,60,55,65,49,60,2,1
Laurențiu Popescu,62,GK,Universitatea Craiova,Liga I,ROM,64,62,66,64,27,61,2,1
Mohammed Bu Sanda,62,GK,Al Ain FC,United Emirates League,UAE,61,62,53,64,36,60,3,1
Stefan Bajic,62,GK,AS Saint-Étienne,Ligue 1 Uber Eats,FRA,63,63,59,63,25,63,3,1
Garissone Innocent,62,GK,Paris Saint-Germain,Ligue 1 Uber Eats,FRA,62,59,61,64,30,61,3,1
Jakub Bursztyn,62,GK,Pogoń Szczecin,PKO Ekstraklasa,POL,64,60,58,63,27,61,2,1
Bilal Bayazit,62,GK,Vitesse,Eredivisie,NED,63,60,42,64,24,61,2,1
Jeffrey de Lange,62,GK,FC Twente,Eredivisie,NED,62,60,61,63,25,60,4,1
Christoph Haas,62,GK,FC Flyeralarm Admira,Ö. Bundesliga,AT,63,60,62,59,30,62,4,1
Jerónimo Pourtau,62,GK,Estudiantes de La Plata,Primera División,ARG,64,62,57,65,17,60,3,1
Stefan Cleveland,62,GK,Seattle Sounders FC,MLS,USA,63,59,60,65,55,60,2,1
Paul Gartler,62,GK,SK Rapid Wien,Ö. Bundesliga,AT,60,61,60,62,32,61,2,1
Serigne Mor Mbaye,62,GK,Kristiansund BK,Eliteserien,SEN,64,59,66,64,26,58,3,1
Niklas Klinger,62,GK,VfL Wolfsburg,Bundesliga,GER,59,60,63,64,33,60,3,1
Ryotaro Hironaga,62,GK,Sanfrecce Hiroshima,Meiji Yasuda J1,JAP,64,60,60,65,26,61,2,1
Thomas Glover,62,GK,Melbourne City,A-League,AUS,63,58,61,64,22,63,2,1
Marco Festa,62,GK,Crotone,Serie A TIM,ITA,65,62,58,61,46,59,3,1
Samu Casado,62,GK,AD Alcorcón,LaLiga SmartBank,ESP,64,60,57,65,44,55,3,1
Tom King,62,GK,Newport County,EFL League Two,WAL,63,62,56,63,42,61,3,1
Muslim Al Furayj,62,GK,Al Fayha,MBS Pro League,SAR,63,59,58,64,45,61,3,1
Jacob Storevik,62,GK,Sandefjord Fotball,Eliteserien,NOR,63,60,58,64,36,60,2,1
Shao Puliang,62,GK,Shijiazhuang Ever Bright FC,CSL,CPR,58,62,63,59,33,63,3,1
Miguel Van Damme,62,GK,KSV Cercle Brugge,1A Pro League,BEL,63,58,59,65,49,58,2,1
Franco Flückiger,62,GK,Türkgücü,3. Liga,GER,64,62,59,63,44,61,3,1
Assaf Al Qarni,62,GK,Al Ittihad,MBS Pro League,SAR,59,63,62,62,44,60,3,1
Vedran Janjetović,62,GK,Western Sydney Wanderers,A-League,AUS,61,59,60,62,41,61,2,1
Ian Lawlor,62,GK,Oldham Athletic,EFL League Two,IRL,65,59,60,64,44,61,3,1
Sayouba Mandé,62,GK,Odense Boldklub,3F Superliga,IVC,63,61,58,63,44,62,2,1
Khaled Sharahili,62,GK,Damac FC,MBS Pro League,SAR,65,56,61,64,42,61,3,1
Alessandro Berardi,62,GK,Hellas Verona,Serie A TIM,ITA,61,58,56,64,50,63,2,1
Gudmund Kongshavn,62,GK,Aalesunds FK,Eliteserien,NOR,63,61,63,63,22,60,3,1
Cho Soo Hyuk,62,GK,Ulsan Hyundai Horang-i,K League 1,KOR,61,62,61,61,33,62,3,1
Elliot Parish,62,GK,St. Johnstone FC,Scottish Prem,ENG,63,62,61,64,40,58,2,1
Zhang Chong,62,GK,Dalian Professional Football Club,CSL,CPR,62,61,64,60,55,61,1,1
Andreas Lie,62,GK,Aalesunds FK,Eliteserien,NOR,63,61,59,63,48,60,1,1
Brendan Clarke,62,GK,St. Patrick's Athletic,SSE Airtricity Lge,IRL,62,63,59,61,48,62,3,1
David Zibung,62,GK,FC Luzern,RSL,SUI,64,60,52,64,28,61,2,1
Daniel Haas,62,GK,FC Erzgebirge Aue,Bundesliga 2,GER,61,62,52,59,34,62,3,1
Earl Edwards Jr.,61,GK,New England Revolution,MLS,USA,58,64,60,57,42,65,2,1
Eray İşcan,61,GK,Yeni Malatyaspor,Süper Lig,TUR,62,63,58,60,34,59,1,1
Gonzalo Crettaz,61,GK,Málaga CF,LaLiga SmartBank,ARG,64,65,68,59,30,56,3,1
Ștefan Târnovanu,61,GK,FC FCSB,Liga I,ROM,61,58,63,59,31,66,2,1
Tobias Lawal,61,GK,LASK,Ö. Bundesliga,AT,64,57,59,63,30,58,3,1
Çağlar Şahin Akbaba,61,GK,Gaziantep FK,Süper Lig,TUR,65,58,55,68,43,54,2,1
Alexander Weidinger,61,GK,SSV Jahn Regensburg,Bundesliga 2,GER,62,60,63,57,22,63,2,1
Ross Laidlaw,61,GK,Ross County FC,Scottish Prem,SCO,63,59,56,59,25,61,2,1
Yohei Nishibe,61,GK,Shimizu S-Pulse,Meiji Yasuda J1,JAP,61,61,62,61,23,67,2,1
Yohei Takeda,61,GK,Nagoya Grampus,Meiji Yasuda J1,JAP,59,60,56,60,26,66,2,1
Eric Verstappen,61,GK,FC Würzburger Kickers,Bundesliga 2,NED,62,59,53,61,37,61,2,1
Dániel Gyollai,61,GK,Peterborough United,EFL League One,HUN,63,60,60,62,45,57,3,1
Raphael Sallinger,61,GK,TSV Prolactal Hartberg,Ö. Bundesliga,AT,65,59,60,61,44,57,3,1
Earl Edwards Jr.,61,GK,D.C. United,MLS,USA,58,64,60,57,42,65,2,1
Jay Lynch,61,GK,Rochdale,EFL League One,ENG,68,58,56,65,41,58,3,1
Xavier Pinoteau,61,GK,FC Chambly Oise,Ligue 2 BKT,FRA,62,64,58,52,29,67,3,1
Matija Šarkić,61,GK,Wolverhampton Wanderers,Premier League,MON,62,59,60,61,37,61,2,1
Owen Evans,61,GK,Cheltenham Town,EFL League Two,WAL,64,60,58,64,39,62,3,1
Du Jia,61,GK,Shanghai SIPG FC,CSL,CPR,59,55,52,63,49,60,3,1
Jonny Maxted,61,GK,Northampton Town,EFL League One,ENG,61,60,60,64,45,58,3,1
Bryan Meredith,61,GK,Nashville SC,MLS,USA,65,60,64,64,46,54,2,1
Jojo Wollacott,61,GK,Swindon Town,EFL League One,ENG,61,59,56,64,41,58,2,1
Jake Eastwood,61,GK,Grimsby Town,EFL League Two,ENG,63,60,61,59,37,59,2,1
Jake Eastwood,61,GK,Sheffield United,Premier League,ENG,63,60,61,59,37,59,2,1
Kendall McIntosh,61,GK,Sporting Kansas City,MLS,USA,62,60,64,62,41,60,3,1
Caoimhin Kelleher,61,GK,Liverpool,Premier League,IRL,62,59,55,64,39,58,2,1
Abdullah Al Owayshir,61,GK,Al Wehda,MBS Pro League,SAR,59,60,60,61,38,61,3,1
Gary Woods,61,GK,Aberdeen,Scottish Prem,ENG,64,59,60,64,51,55,2,1
Abdullah Al Owayshir,61,GK,Al Nassr,MBS Pro League,SAR,59,60,60,61,38,61,3,1
Mees Bakker,61,GK,AZ,Eredivisie,NED,64,59,61,61,29,55,2,1
Lucas Chevalier,61,GK,LOSC Lille,Ligue 1 Uber Eats,FRA,61,58,62,64,25,58,3,1
Andrei Marinescu,61,GK,Universitatea Craiova,Liga I,ROM,64,55,60,64,28,61,2,1
Luca Unbehaun,61,GK,Borussia Dortmund,Bundesliga,GER,52,58,65,65,53,63,3,1
Matis Carvalho,61,GK,Montpellier Hérault SC,Ligue 1 Uber Eats,POR,62,61,59,63,37,59,2,1
Andrew Putna,61,GK,Real Salt Lake,MLS,USA,60,61,60,59,24,62,2,1
Daiki Tomii,61,GK,Shonan Bellmare,Meiji Yasuda J1,JAP,65,56,53,63,33,60,2,1
Budimir Janošević,61,GK,AIK,Allsvenskan,SRB,60,63,55,63,23,62,3,1
Guo Quanbo,61,GK,Beijing Sinobo Guoan FC,CSL,CPR,58,58,56,63,51,61,1,1
Kendall McIntosh,61,GK,New York Red Bulls,MLS,USA,62,60,64,62,41,60,3,1
Yeerjieti Yeerzati,61,GK,Chongqing Dangdai Lifan FC SWM Team,CSL,CPR,63,57,64,60,49,58,2,1
Marius Funk,61,GK,SpVgg Greuther Fürth,Bundesliga 2,GER,61,59,61,62,39,59,3,1
Markus Pettersen,61,GK,SK Brann,Eliteserien,NOR,63,59,58,64,24,60,2,1
Emre Selen,61,GK,Yeni Malatyaspor,Süper Lig,TUR,61,59,60,59,34,58,1,1
Alejandro Rivero,61,GK,Arsenal de Sarandí,Primera División,ARG,61,59,61,62,43,60,3,1
Takuya Masuda,61,GK,Sanfrecce Hiroshima,Meiji Yasuda J1,JAP,61,61,58,64,20,57,2,1
Jake Eastwood,61,GK,Kilmarnock,Scottish Prem,ENG,63,60,61,59,37,59,2,1
Matija Šarkić,61,GK,Shrewsbury,EFL League One,MON,62,59,60,61,37,61,2,1
Owen Evans,61,GK,Wigan Athletic,EFL League One,WAL,64,60,58,64,39,62,3,1
Jojo Wollacott,61,GK,Bristol City,EFL Championship,ENG,61,59,56,64,41,58,2,1
Brendan Moore,61,GK,Atlanta United,MLS,USA,60,59,60,61,48,62,2,1
Sui Weijie,61,GK,Chongqing Dangdai Lifan FC SWM Team,CSL,CPR,60,60,61,58,44,62,3,1
Du Jia,61,GK,Tianjin TEDA FC,CSL,CPR,59,55,52,63,49,60,3,1
Jonathan Rasheed,61,GK,BK Häcken,Allsvenskan,NOR,63,58,61,62,30,59,2,1
Han Rongze,61,GK,Shandong Luneng TaiShan FC,CSL,CPR,59,55,64,63,41,63,3,1
Ryan Fulton,61,GK,Hamilton Academical FC,Scottish Prem,SCO,59,60,65,65,32,58,3,1
Jeroen Houwen,61,GK,Vitesse,Eredivisie,NED,61,59,58,62,44,58,2,1
Nick Townsend,61,GK,Newport County,EFL League Two,ENG,60,61,57,64,39,61,2,1
Andreas Hansen,61,GK,Aalborg BK,3F Superliga,DEN,63,58,61,63,47,59,3,1
Matthew Acton,61,GK,Melbourne Victory,A-League,AUS,63,61,59,63,40,58,2,1
Lee Jin Hyung,61,GK,GwangJu FC,K League 1,KOR,60,58,60,61,48,63,2,1
Jonny Maxted,61,GK,Exeter City,EFL League Two,ENG,61,60,60,64,45,58,3,1
Ben Wilson,61,GK,Coventry City,EFL Championship,ENG,63,59,60,63,40,57,2,1
Bryan Meredith,61,GK,Vancouver Whitecaps FC,MLS,USA,65,60,64,64,46,54,2,1
Hong Jung Nam,61,GK,Jeonbuk Hyundai Motors,K League 1,KOR,62,60,61,59,35,62,3,1
Li Shuai,61,GK,Shanghai Greenland Shenhua FC,CSL,CPR,62,61,62,58,32,61,2,1
Gary Woods,61,GK,Oldham Athletic,EFL League Two,ENG,64,59,60,64,51,55,2,1
Gerardo Ruíz,61,GK,Gallos Blancos de Querétaro,LIGA BBVA MX,MEX,61,60,60,62,43,57,3,1
Michael Tørnes,61,GK,Brøndby IF,3F Superliga,DEN,60,59,58,62,47,62,2,1
Paul Jones,61,GK,Sheffield Wednesday,EFL Championship,ENG,61,58,61,62,32,61,3,1
Lewis Price,61,GK,Rotherham United,EFL Championship,WAL,60,61,57,59,37,61,2,1
Johan Brattberg,60,GK,BK Häcken,Allsvenskan,SWE,61,59,61,60,34,61,2,1
Göktuğ Bakırbaş,60,GK,BB Erzurumspor,Süper Lig,TUR,58,61,58,59,19,61,3,1
Azón,60,GK,R. Zaragoza,LaLiga SmartBank,ESP,56,70,59,57,24,56,3,1
Alexandru Greab,60,GK,FC Argeș,Liga I,ROM,63,55,50,61,33,58,2,1
Iván Martínez,60,GK,CA Osasuna,LaLiga Santander,ESP,61,64,60,61,29,57,2,1
Koen Bucker,60,GK,Heracles Almelo,Eredivisie,NED,63,55,54,60,31,58,3,1
Göktuğ Bakırbaş,60,GK,Göztepe SK,Süper Lig,TUR,58,61,58,59,19,61,3,1
Edward McGinty,60,GK,Sligo Rovers,SSE Airtricity Lge,IRL,60,61,56,61,50,58,2,1
Ethan Ross,60,GK,Lincoln City,EFL League One,ENG,63,59,62,61,34,60,3,1
Kazushige Kirihata,60,GK,Kashiwa Reysol,Meiji Yasuda J1,JAP,54,57,60,57,13,66,2,1
Oliver Sail,60,GK,Wellington Phoenix,A-League,NZL,59,56,60,61,49,59,2,1
Johan Brattberg,60,GK,Falkenbergs FF,Allsvenskan,SWE,61,59,61,60,34,61,2,1
Viktor Noring,60,GK,Falkenbergs FF,Allsvenskan,SWE,60,61,54,62,31,58,2,1
Ellery Balcombe,60,GK,Burton Albion,EFL League One,ENG,59,57,55,65,40,59,3,1
Jamie Cumming,60,GK,Chelsea,Premier League,ENG,62,57,56,63,24,58,2,1
Hussain Shaian,60,GK,Al Shabab,MBS Pro League,SAR,61,57,55,63,48,58,2,1
Peter Cherrie,60,GK,Dundalk,SSE Airtricity Lge,SCO,58,58,59,60,22,61,2,1
Kyung Gun Mun,60,GK,Daegu FC,K League 1,KOR,57,62,56,63,38,57,3,1
Egil Selvik,60,GK,FK Haugesund,Eliteserien,NOR,61,60,59,61,18,58,2,1
Didier Desprez,60,GK,Paris FC,Ligue 2 BKT,FRA,60,56,54,61,24,58,3,1
Ellery Balcombe,60,GK,Doncaster Rovers,EFL League One,ENG,59,57,55,65,40,59,3,1
Goro Kawanami,60,GK,Sanfrecce Hiroshima,Meiji Yasuda J1,JAP,60,63,55,56,24,58,2,1
Constantin Frommann,60,GK,SV Meppen,3. Liga,GER,62,59,64,62,37,55,3,1
Hwang ByeongGeun,60,GK,Jeonbuk Hyundai Motors,K League 1,KOR,62,57,56,62,26,57,2,1
Daniel Margush,60,GK,Western Sydney Wanderers,A-League,AUS,57,61,57,61,30,60,2,1
Andy Fisher,60,GK,Milton Keynes Dons,EFL League One,ENG,64,59,61,64,34,58,3,1
Basim Al Baqi,60,GK,Al Wehda,MBS Pro League,SAR,59,57,55,58,47,64,2,1
Yannik Bangsow,60,GK,FC Viktoria Köln,3. Liga,GER,60,57,57,64,33,55,4,1
James Belshaw,60,GK,Harrogate Town,EFL League Two,ENG,61,60,59,61,28,60,2,1
Carljohan Eriksson,60,GK,Mjällby AIF,Allsvenskan,FIN,58,61,63,62,54,61,1,1
Egil Selvik,60,GK,Odds BK,Eliteserien,NOR,61,60,59,61,18,58,2,1
Eisuke Fujishima,60,GK,Kawasaki Frontale,Meiji Yasuda J1,JAP,63,57,53,64,25,54,2,1
Nikola Mirković,60,GK,SønderjyskE,3F Superliga,SRB,64,56,65,59,30,63,3,1
Emiliano González,60,GK,Estudiantes de La Plata,Primera División,ARG,58,61,52,61,20,62,2,1
Kyung Gun Mun,60,GK,Oita Trinita,Meiji Yasuda J1,KOR,57,62,56,63,38,57,3,1
Miguel Morro,60,GK,Rayo Vallecano,LaLiga SmartBank,ESP,60,56,61,62,24,55,2,1
